Patient_ID,Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,273838,1,389,982,656,476,103,400,182,482,3656,124,2,972,4,782,103,103,198,419,76,1,7,1,1,11,678,74,85,64,31023,164,246,443,744,3,528,100,73,59,326,1,55,3,9,1,9,25,55,18,1,1,7,14,377,27,127,36,4,11,399,687,31244,92,474,89,157,56,775,1,88,254,17,14,10,202,153,43,10,7,15,457,172,39,113,137,158,2,35702,8,145,31,1405,321,50,1,364,1,5,9,36,3,9,18,1,60,1,110,8,8,31,4,2290,112,368,7,20,13,5,9,5,22,1608,72,123,117,13,12,27,11,382,5,20,856,2,9,88,248,0,0,0,0
303,281965,1,248,625,475,367,153,245,130,399,3328,74,2,631,5,637,141,66,232,239,117,1,11,1,1,13,370,98,92,77,26705,161,245,463,742,3,284,131,2,84,74,257,1,71,5,10,1,11,29,61,21,1,1,7,16,403,33,182,45,4,15,249,394,27804,98,532,128,170,79,748,1,134,250,20,17,13,144,136,49,11,9,18,329,166,73,185,151,166,2,37714,11,190,34,1545,258,58,1,381,1,5,13,41,6,11,22,1,95,1,164,8,9,37,4,2142,103,384,9,26,14,7,11,7,26,1613,94,112,126,15,18,33,13,339,5,23,968,2,10,106,296,0,0,0
304,281446,1,403,820,733,378,117,396,158,364,3297,95,2,794,4,631,107,87,229,421,92,1,9,1,1,13,519,88,89,60,28098,181,237,458,615,3,497,105,101,65,233,1,51,4,10,1,9,26,58,18,1,1,7,15,392,28,157,38,4,14,393,482,28585,115,496,79,184,47,681,1,87,264,17,16,10,130,137,45,11,7,18,267,153,49,142,148,149,2,36024,9,160,31,1440,222,52,1,337,1,5,10,37,5,9,18,1,63,1,139,8,9,32,4,2062,90,266,7,20,14,5,11,5,23,1614,76,96,121,14,12,28,12,263,5,20,753,2,9,93,262,0,0,0,0
305,279797,1,302,572,572,319,112,294,134,309,3022,71,2,536,3,563,103,66,250,368,87,1,8,1,1,12,516,82,86,64,26394,172,235,422,500,3,441,91,101,1,63,241,1,53,4,9,5,21,42,13,1,1,5,11,412,21,169,27,4,15,355,481,26285,91,483,83,172,75,503,1,88,229,12,14,7,143,180,31,10,3,16,293,197,64,148,186,178,2,43110,10,169,22,1630,215,37,1,374,1,4,7,24,6,5,9,1,70,1,162,6,7,23,3,2012,104,266,4,11,12,2,9,2,17,1613,51,117,126,11,7,19,9,280,5,13,1076,2,7,74,192,0,0,0,0
307,342686,1,6,273,190,210,147,13,31,214,2984,72,2,274,1,432,138,74,234,9,9,1,12,1,14,27,6,8,14,8392,23,72,301,514,3,11,8,1,11,42,84,1,16,5,9,10,27,50,19,1,6,13,269,28,107,41,2,4,20,7,24,8437,1,362,2,27,20,512,6,94,18,22,8,5,16,45,11,8,19,30,36,8,77,20,18,4,24092,17,91,30,1540,84,54,206,1,3,8,36,9,11,22,17,1,87,7,14,31,4,2175,29,162,8,20,12,5,12,5,24,1608,87,34,19,16,14,28,11,167,6,23,789,2,4,93,272,0,0,0,0,0,0,0,0
310,294161,1,460,722,549,279,107,474,70,287,2806,129,2,707,5,329,116,103,193,339,51,1,11,1,1,13,447,48,54,29,27577,151,241,449,416,3,272,68,1,62,29,145,1,20,4,10,1,10,27,59,19,1,1,7,16,315,32,91,42,4,15,355,452,26557,61,496,51,152,29,454,1,51,241,18,16,12,55,82,46,11,8,18,115,95,17,71,94,92,2,30158,10,109,32,1283,146,55,1,288,1,5,13,38,5,10,20,1,22,1,75,8,9,35,4,1939,132,150,8,24,14,6,11,6,24,1614,88,139,56,14,15,31,13,143,5,21,593,2,10,99,278,0,0,0
312,361683,1,12,163,167,187,90,12,12,192,2817,117,2,142,4,255,107,105,195,3,3,1,9,1,1,13,23,7,4,4,5098,24,100,277,297,3,18,10,2,9,82,1,4,4,10,1,9,26,58,18,1,1,7,15,226,28,63,38,4,14,12,20,5454,11,342,5,17,8,307,1,9,87,17,16,10,2,9,45,11,7,18,11,24,6,34,9,11,2,14199,9,57,31,892,79,52,1,189,1,5,10,37,5,9,18,1,3,1,40,8,9,32,4,2170,25,93,7,20,14,5,11,5,23,1614,76,34,4,14,12,28,12,98,5,20,367,2,9,93,262,0,0,0,0
313,280526,1,465,743,729,316,113,504,120,326,2821,119,2,752,4,398,108,104,188,334,54,1,10,1,1,1,14,445,45,46,18,31516,211,298,502,443,3,464,56,1,57,16,144,1,13,4,11,1,9,29,62,19,1,1,8,16,334,29,95,42,4,14,338,434,30233,51,557,49,181,35,446,1,58,267,18,17,10,43,115,47,12,7,18,156,134,14,72,126,126,2,34902,9,94,33,1420,148,55,1,310,2,6,11,39,5,9,18,1,15,1,78,9,11,34,4,1926,109,147,7,20,16,5,12,5,24,1622,79,118,114,16,12,30,12,148,6,21,666,2,9,100,279,0,0
314,265291,1,396,758,796,370,131,450,168,379,2910,51,2,786,3,595,146,52,246,481,97,1,9,2,1,14,523,83,118,59,30799,211,307,511,579,3,574,133,1,132,1,71,234,1,50,4,11,5,25,50,15,1,1,7,13,370,23,183,34,4,15,430,522,31329,129,543,100,219,65,552,1,110,336,14,17,8,141,192,35,12,3,17,263,190,66,159,190,187,2,45953,10,157,27,1851,225,42,1,364,2,5,8,28,6,5,10,1,51,1,158,8,10,27,4,1991,108,234,4,11,15,2,11,2,19,1631,60,116,125,15,8,23,10,227,6,16,972,2,7,89,223,0,0,0
315,290232,1,206,345,436,227,143,245,55,230,2731,61,2,381,5,331,117,65,250,321,62,1,11,1,1,12,393,58,42,25,23341,144,187,412,341,3,352,59,2,57,24,143,1,22,5,9,1,11,28,57,20,1,1,6,15,395,32,136,42,4,15,306,377,24294,53,482,51,128,18,372,1,48,190,19,15,12,69,178,47,10,9,17,202,180,17,98,177,170,2,41271,11,116,31,1451,146,55,1,350,1,5,13,39,6,11,21,1,30,1,109,7,8,35,3,1965,80,191,9,26,13,7,10,7,25,1603,88,90,126,13,17,31,12,183,5,21,966,2,10,98,282,0,0,0
